,dGr_prime,SD of dGr_prime
r_0001,,
r_0002,,
r_0003,14.03881871254589,12.335231995447613
r_0004,,
r_0005,,
r_0006,,
r_0007,-7.562202832151343,23.70608557139749
r_0012,-59.46078804352419,12.757668965559088
r_0013,-500.87741044066615,11.28769692839144
r_0014,-38.48988195386535,58.37296113211216
r_0015,-43.21339038986525,19.165861404846165
r_0016,-13.919735829021135,5.138359515469148
r_0017,-27.515413982611225,16.17585592752955
r_0018,-1.4727393802195365,2.2636833285314646
r_0019,-12.560110993981652,15.857106123991475
r_0020,-70.99021827830506,1.9392217865200965
r_0021,-83.43247229665872,58.120724852502036
r_0022,-324.1240620909887,49.45216364258652
r_0023,0.220420892077982,4.469394907408277
r_0024,-27.947260407510136,14.009241303400293
r_0025,-43.32839628964223,14.009246243492276
r_0026,-0.8624021368094077,10.29146184742366
r_0027,1.4448081787936928,2.5076504330425315
r_0028,-51.478876492122595,13.799234427484615
r_0029,-13.398493738295144,4.915934458334591
r_0030,1.5559798914713383,4.915934274209344
r_0032,-23.54442933733594,2.3955752254423377
r_0033,-37.24776976834821,2.6868215862978544
r_0034,-31.923338002130585,4.873638719111496
r_0035,-37.250165831441905,2.783928409753282
r_0036,-37.250059112926216,13.195720679859281
r_0037,-37.24983650294039,9.407244978998126
r_0038,-95.41634401360531,2.0931290742387803
r_0039,-6.078479501212797,4.134825855434396
r_0040,-68.79457785674867,3.1062718079790477
r_0041,-1.8348761313509385,26.29148618336905
r_0042,-71.16685597225455,1.939219805503726
r_0043,-173.92615853234793,46.35040358807605
r_0044,21.12703949569459,50.13064200377448
r_0045,-48.57951644269291,10.376824142607758
r_0057,19.12631092198899,18.415403898626426
r_0058,-322.09697113189173,9.62403645402815
r_0059,-8.051610502125413,30.95884868187188
r_0060,-2.1152009935413787,4.3628454661747895
r_0061,22.430809040963823,12.979564702473184
r_0062,-15.105272082981656,4.717401574219314
r_0063,3.062992853842559,22.201996737079448
r_0064,-14.735890245444693,4.583569895681429
r_0065,-22.28449692553113,6.6710726576585255
r_0066,-20.923565821889724,10.311170843297006
r_0067,-177.7623432005307,8.215678395817607
r_0068,0.7579776470323054,2.8640468030122244
r_0069,-9.239329260595468,20.73959478254891
r_0070,-45.22578657505085,17.842920215408885
r_0072,-20.622066133277542,3.398074815105176
r_0073,-25.130296410827214,15.729422345082487
r_0074,-1.9835047928927452,16.00471916857149
r_0075,9.627658527272047,9.393507938599885
r_0076,-10.759551199105545,8.68723854761471
r_0077,-10.759230340806425,1.9295700946689383
r_0078,-10.759450886970285,8.264615788474396
r_0079,4.471526770261562,10.12556193554182
r_0080,-33.912086609193466,24.996685012661526
r_0081,14.47210518922111,14.004244622686752
r_0082,-25.130296410827214,15.729422683954981
r_0083,-0.8787371841699496,15.796794756475508
r_0084,-20.26862957184312,20.94250991886756
r_0085,-15.011703459913427,22.584023072063513
r_0086,-59.248830810437624,10.95033016391394
r_0087,-3.7873391124002183,9.633393900139307
r_0088,24.02552880210638,15.938226366747415
r_0089,24.02552880210638,15.938226366747415
r_0090,-0.1212839741324172,4.224675157959913
