Reaction number,Reaction ID,Original equation,Compartment,dGr_prime (kJ/mol),SD of dGr_prime (kJ/mol),Annotation
255,r_0290,dodecaprenyl diphosphate + isopentenyl diphosphate => diphosphate + tridecaprenyl diphosphate,lp,2053.726623535156,75.67834474445708,"sbo: SBO:0000176; ec-code: 2.5.1.87; kegg.pathway: ['sce00900', 'sce01110']; pubmed: 12702274"
314,r_0358,"ATP + 2.0 H+ + myo-inositol 1,3,4,5,6-pentakisphosphate + 2.0 phosphate => 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate + ADP + 2.0 H2O",c,48.82863268994453,14.804388604671674,"sbo: SBO:0000176; ec-code: 2.7.4.21; kegg.pathway: ['sce04070', 'sce04138']; pubmed: 11956213"
722,r_0953,ammonium + 2.0 H2O + 0.5 oxygen + pyridoxal => 2.0 hydrogen peroxide + pyridoxamine,c,403.1778907858692,63.89172795754899,sbo: SBO:0000176; ec-code: 1.4.3.5; bigg.reaction: PYDXO; kegg.pathway: sce00750; metanetx.reaction: MNXR103365
1632,r_2256,4.0 H+ + H2O + trans-oct-2-enoyl-CoA => (R)-3-hydroxyoctanoyl-CoA,p,-9.781095956427636,13.722337624930551,"sbo: SBO:0000176; ec-code: ['1.1.1.n12', '4.2.1.119']; metanetx.reaction: MNXR118594; pubmed: 12697341"
1639,r_2263,"4.0 H+ + H2O + trans-2,cis-9-octadecadienoyl-CoA => (R)-3-hydroxy-cis-octadec-9-enoyl-CoA",p,-22.07620093689667,15.962445533656236,"sbo: SBO:0000176; ec-code: ['1.1.1.n12', '4.2.1.119']; pubmed: 12697341"
2418,r_3054,H2O + 1-acylglycerophosphoethanolamine (16:0) => H+ + palmitate + sn-glycero-3-phosphoethanolamine,ce,568.0388488769531,42.03029774625171,sbo: SBO:0000176; ec-code: 3.1.1.5; kegg.pathway: sce00564; pubmed: 22345606
2420,r_3056,H2O + 1-acylglycerophosphoethanolamine (18:0) => H+ + stearate + sn-glycero-3-phosphoethanolamine,ce,656.4972381591797,24.31483984361047,sbo: SBO:0000176; ec-code: 3.1.1.5; kegg.pathway: sce00564; pubmed: 22345606
2421,r_3057,H2O + 1-acylglycerophosphoethanolamine (18:1) => H+ + oleate + sn-glycero-3-phosphoethanolamine,ce,655.3761138916016,24.8874503151228,sbo: SBO:0000176; ec-code: 3.1.1.5; kegg.pathway: sce00564; pubmed: 22345606
2466,r_3102,"H2O + phosphatidylglycerol (1-16:0, 2-18:1) => 2.0 H+ + glycerol 3-phosphate + diglyceride (1-16:0, 2-18:1)",mm,1061.7747342427472,63.20422537325267,sbo: SBO:0000176; ec-code: 3.1.4.-; kegg.pathway: sce00564; pubmed: 22345606
3715,r_4386,H2O + Ala-Asp => L-aspartate + L-alanine,v,7.01005010780537,22.24420593213797,sbo: SBO:0000176; ec-code: 3.4.13.18; metanetx.reaction: MNXR123344
