Reaction number,Reaction ID,Original equation,Compartment,dGr_prime (kJ/mol),SD of dGr_prime (kJ/mol),Annotation
206,r_0230,ATP + biotin + H+ => biotinyl-5'-AMP + diphosphate,c,15.81370419738778,14.009287884933844,"sbo: SBO:0000176; ec-code: ['6.3.4.-', '6.3.4.10', '6.3.4.11', '6.3.4.15', '6.3.4.9']; bigg.reaction: BACCL; kegg.pathway: sce00780; kegg.reaction: R01074; metanetx.reaction: MNXR96208; pubmed: 9688262"
255,r_0290,dodecaprenyl diphosphate + isopentenyl diphosphate => diphosphate + tridecaprenyl diphosphate,lp,2053.726623535156,75.67834474445708,"sbo: SBO:0000176; ec-code: 2.5.1.87; kegg.pathway: ['sce00900', 'sce01110']; pubmed: 12702274"
314,r_0358,"ATP + 2.0 H+ + myo-inositol 1,3,4,5,6-pentakisphosphate + 2.0 phosphate => 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate + ADP + 2.0 H2O",c,48.82863268994453,14.804388604671674,"sbo: SBO:0000176; ec-code: 2.7.4.21; kegg.pathway: ['sce04070', 'sce04138']; pubmed: 11956213"
326,r_0373,farnesyl diphosphate + isopentenyl diphosphate => geranylgeranyl diphosphate + diphosphate,c,-68.37756122099609,25.59526674803278,"sbo: SBO:0000176; ec-code: ['2.5.1.-', '2.5.1.1', '2.5.1.10', '2.5.1.29']; bigg.reaction: FRTT; kegg.pathway: ['sce00900', 'sce01110', 'sce01130']; kegg.reaction: R02061; metanetx.reaction: MNXR99650; pubmed: 7665600"
339,r_0443,formaldehyde + glutathione + NAD => H+ + NADH + S-formylglutathione,c,-8.833554177561894,13.884376988791216,"sbo: SBO:0000176; ec-code: ['1.1.1.-', '1.1.1.1', '1.1.1.284']; bigg.reaction: FALDH; kegg.pathway: ['sce00010', 'sce00071', 'sce00350', 'sce01110', 'sce01130', 'sce01200']; metanetx.reaction: MNXR99236"
722,r_0953,ammonium + 2.0 H2O + 0.5 oxygen + pyridoxal => 2.0 hydrogen peroxide + pyridoxamine,c,403.1778907858692,63.89172795754899,sbo: SBO:0000176; ec-code: 1.4.3.5; bigg.reaction: PYDXO; kegg.pathway: sce00750; metanetx.reaction: MNXR103365
1632,r_2256,4.0 H+ + H2O + trans-oct-2-enoyl-CoA => (R)-3-hydroxyoctanoyl-CoA,p,-9.781095956427636,13.722337624930551,"sbo: SBO:0000176; ec-code: ['1.1.1.n12', '4.2.1.119']; metanetx.reaction: MNXR118594; pubmed: 12697341"
1639,r_2263,"4.0 H+ + H2O + trans-2,cis-9-octadecadienoyl-CoA => (R)-3-hydroxy-cis-octadec-9-enoyl-CoA",p,-22.07620093689667,15.962445533656236,"sbo: SBO:0000176; ec-code: ['1.1.1.n12', '4.2.1.119']; pubmed: 12697341"
2418,r_3054,H2O + 1-acylglycerophosphoethanolamine (16:0) => H+ + palmitate + sn-glycero-3-phosphoethanolamine,ce,568.0388488769531,42.03029774625171,sbo: SBO:0000176; ec-code: 3.1.1.5; kegg.pathway: sce00564; pubmed: 22345606
2420,r_3056,H2O + 1-acylglycerophosphoethanolamine (18:0) => H+ + stearate + sn-glycero-3-phosphoethanolamine,ce,656.4972381591797,24.31483984361047,sbo: SBO:0000176; ec-code: 3.1.1.5; kegg.pathway: sce00564; pubmed: 22345606
3551,r_4190,2.0 H+ + 2.0 superoxide => hydrogen peroxide + oxygen,m,88.15983639819362,25.6680774210284,sbo: SBO:0000176; ec-code: 1.15.1.1; bigg.reaction: SPODMm; kegg.reaction: R00275; metanetx.reaction: MNXR104498
3676,r_4347,H2O + 3'-GMP => guanosine + phosphate,c,-23.5100660107928,13.02260914465381,sbo: SBO:0000176; ec-code: 3.1.3.6; bigg.reaction: 3NUCLE4; kegg.reaction: R02148; metanetx.reaction: MNXR94936
