rxn num,lv,uv,ldGr,udGr
0,-1000.0,1000.0,-inf,inf
1,-1000.0,1000.0,-inf,inf
2,-789.275977,0.0,-166.026567,111.952984
3,-1000.0,1000.0,-inf,inf
4,8.122629,66.244122,-inf,inf
5,2.713917,22.133355,-inf,inf
6,0.918344,385.270427,-129.320026,-0.0001
7,-999.99989,998.023892,-262.41212,18.624141
8,-0.0,1000.0,-785.878835,-456.873992
9,0.010989,167.863505,-290.175756,-0.0001
10,0.010989,167.863505,-161.619444,-0.0001
11,2.917552,637.672919,-88.5318,-0.0001
12,-999.999303,1000.0,-220.814155,80.209139
13,3.619871,532.582676,-104.542923,-0.0001
14,0.002088,352.643958,-121.039899,-0.0001
15,-996.323807,1000.0,-183.040593,21.414049
16,0.0,0.0,-402.56582,150.126688
17,0.0,0.0,-507.722642,-63.829916
18,-638.739243,-3.983876,0.0001,54.575641
19,-996.016124,996.542717,-222.98825,65.296401
20,-992.558841,1000.0,-240.080884,48.203796
21,-669.530851,1000.0,-128.015921,126.291117
22,3.619871,532.582676,-47.025178,-0.0001
23,-1000.0,1000.0,-247.601329,39.42328
24,3.983876,638.739243,-94.759712,-0.0001
27,0.0,1000.0,-152.681933,-23.610934
29,0.0,0.0,-152.97565,-23.32201
30,-1000.0,1000.0,-184.21092,7.913474
31,0.0,0.0,-172.84527,-3.451731
32,0.021979,335.727011,-250.460367,-79.573
33,3.676193,1000.0,-59.429992,-0.0001
34,3.676193,1000.0,-180.097473,-14.541142
35,-90.001891,90.001891,-141.617804,220.099272
36,-996.323807,1000.0,-183.217225,21.237405
37,0.0,0.0,-360.764463,41.436875
38,0.0,0.0,-194.166818,264.945626
39,0.066705,451.170342,-238.4282,-17.577619
40,-1000.0,1000.0,-180.320579,134.140003
41,0.066705,451.170342,-395.903701,-191.240782
42,0.0,0.0,-197.20729,181.104069
43,-638.739243,-3.983876,0.0001,71.566478
44,3.983876,638.739243,-159.567575,-0.0001
45,0.0,793.444209,-95.870892,90.762109
46,0.002088,352.643958,-169.775707,-0.0001
47,0.0,634.755367,-95.100015,-0.352468
48,3.676193,1000.0,-138.576848,-0.0001
49,0.000697,424.344488,-148.136212,-0.0001
50,0.000697,424.344488,-351.174014,-143.551351
51,-1000.0,1000.0,-104.113296,105.629252
52,0.0,0.0,-183.395769,88.221544
53,0.0,0.0,-259.184242,6.462915
54,0.0,634.755367,-97.429706,-6.150572
55,-1000.0,0.0,-231.036775,21.929395
56,0.0,1000.0,-110.906132,188.65308
57,0.0,1000.0,-114.831999,134.087316
58,-1000.0,1000.0,-148.758922,50.544253
59,-1000.0,1000.0,-128.485596,30.271569
60,-1000.0,1000.0,-147.490953,49.276486
61,1.125351,296.180035,-275.902504,-0.0001
62,-442.063261,1000.0,-169.810611,165.381698
63,8.8e-05,634.755455,-138.082127,-0.0001
64,-0.0,1000.0,-231.036776,21.929396
65,-0.0,1000.0,-144.548255,142.790781
66,-1000.0,996.830968,-230.719805,109.503244
68,0.0,1000.0,-133.046856,34.195302
69,0.0,1000.0,-83.327088,75.752409
70,-1000.0,0.0,11.710089,277.338975
71,0.0,0.0,11.710089,277.338975
72,-0.0,1000.0,-155.854999,73.461211
73,0.0,1000.0,-134.767198,-11.902056
74,-1000.0,0.0,-231.036776,21.929396
75,0.0,1000.0,-110.906133,188.653081
77,-1000.0,1000.0,-70.685845,95.177514
78,7.443247,800.887456,-115.743952,-0.0001
79,7.443247,800.887456,-91.400648,-0.0001
81,-1000.0,1000.0,-181.084251,128.089739
82,-1000.0,1000.0,-182.692218,129.697701
83,-1000.0,1000.0,-180.839822,127.845676
84,-996.323807,793.444209,-139.203455,193.631881
85,3.3e-05,700.257883,-139.658295,-0.0001
86,-1000.0,1000.0,-180.660763,48.744912
87,0.0,373.202185,-180.49963,127.504995
88,-1000.0,1000.0,-180.547097,127.552706
89,0.0,0.0,-245.799503,131.423384
90,-1000.0,1000.0,-229.544785,124.048259
91,0.0,1000.0,-245.607984,-6.45288
92,-1000.0,1000.0,-188.332532,176.705192
93,-999.999912,1000.0,-188.392031,176.645724
95,-997.864821,1000.0,-90.703582,121.731726
96,-160.392404,0.0,-207.922517,109.045096
97,-1000.0,1000.0,-60.146587,58.797292
98,-997.864821,1000.0,-110.493104,105.352134
99,0.0,1000.0,-310.086981,-61.504454
100,-1000.0,1000.0,-223.180557,54.446309
102,-1000.0,1000.0,-190.107494,57.859084
103,-1000.0,1000.0,-223.832959,55.09871
105,-1000.0,1000.0,-223.527522,54.793395
106,-1000.0,1000.0,-238.405687,231.477806
107,-1000.0,1000.0,-238.033889,228.690969
108,-1000.0,1000.0,-236.597197,229.669804
109,-1000.0,1000.0,-267.048852,257.955932
110,-1000.0,1000.0,-231.722032,224.794395
111,-1000.0,1000.0,-238.013942,231.086732
112,-1000.0,1000.0,-237.650167,228.306941
113,-1000.0,1000.0,-236.21937,229.291671
114,-1000.0,1000.0,-266.74932,257.656094
115,-1000.0,1000.0,-231.367796,224.440586
116,0.0,0.0,-inf,inf
117,-1000.0,1000.0,-292.613684,208.027573
118,-1000.0,1000.0,-121.468888,83.59691
119,-1000.0,1000.0,-292.594009,208.016954
120,-1000.0,1000.0,-164.93773,52.291781
121,0.966261,1000.0,-292.602103,208.02017
122,-1000.0,1000.0,-90.647682,84.811911
123,-0.0,1000.0,-215.393218,198.736961
124,0.0,0.0,-209.053712,239.424507
125,0.0,1000.0,-108.458929,55.300038
126,-1000.0,1000.0,-105.88047,103.132508
128,-1000.0,1000.0,-135.734023,134.584525
129,1.125338,296.180022,-127.689806,-0.0001
130,-1000.0,1000.0,-49.119469,62.314576
131,-1000.0,1000.0,-276.452589,108.632102
132,1.310465,1000.0,-120.479205,-0.0001
133,0.0,0.0,-157.284117,-19.200722
134,-1000.0,1000.0,-117.912196,87.003576
135,3.821381,31.165284,-inf,inf
136,0.0,453.396691,-148.684744,126.814541
137,-1000.0,1000.0,-146.745879,127.472753
139,0.0,1000.0,-149.200302,127.112692
140,0.0,317.377683,-148.170037,129.27664
141,-1000.0,1000.0,-160.800513,116.161886
142,-1000.0,1000.0,-125.317044,137.554077
143,-1000.0,1000.0,-106.973019,169.989404
144,-1000.0,1000.0,-117.702774,161.685029
145,-1000.0,1000.0,-108.513906,170.87392
146,-1000.0,1000.0,-120.186516,145.412772
147,-1000.0,1000.0,-115.904728,165.368795
148,-1000.0,1000.0,-106.71586,174.557686
149,-1000.0,1000.0,-118.331503,149.039571
150,-583.908238,1000.0,-278.167747,12.977363
151,-1000.0,1000.0,-262.212805,8.54676
152,0.0,1000.0,-308.318874,-19.873146
153,-0.0,1000.0,-310.886028,-17.30618
154,0.0,1000.0,-306.870231,-12.987359
155,-1000.0,1000.0,-260.598881,15.262349
156,-0.0,1000.0,-309.269647,-10.588131
157,-1000.0,1000.0,-114.453547,163.94337
158,-1000.0,1000.0,-105.264679,173.132261
159,-1000.0,1000.0,-116.968274,147.702099
161,-1000.0,1000.0,-108.932149,171.177203
162,-1000.0,1000.0,-120.582659,145.693956
163,0.0,0.0,-280.93961,12.857018
164,-1000.0,1000.0,-114.15262,166.728808
166,0.0,120.295,-439.775637,-77.412263
167,-343.767457,0.0,-107.748611,60.402265
168,-329.01574,0.0,-150.364197,20.098027
169,-1000.0,1000.0,-527.198175,430.288934
170,0.0,0.0,-139.459985,239.624501
171,-1000.0,1000.0,-131.877031,26.480814
172,-1000.0,1000.0,-131.877351,26.480509
173,-998.499411,1000.0,-180.689048,75.503512
174,-264.481403,0.0,-130.595444,27.163217
176,-1000.0,1000.0,-459.917051,143.424076
177,-1000.0,1000.0,-332.401996,31.486582
179,0.49056,451.594197,-417.934608,-120.504251
180,0.0,1000.0,-250.957088,-61.114038
181,0.0,0.0,-120.454651,142.428084
182,-1000.0,996.686018,-161.04155,22.474554
183,-997.864821,998.821196,-183.727943,153.274338
184,-997.864821,998.821196,-299.852918,208.185901
185,2.135179,17.413455,-inf,inf
187,-1000.0,1000.0,-293.407544,65.139301
188,2.1041,17.159989,-inf,inf
190,1.178804,516.725817,-135.135089,-0.0001
192,-1000.0,1000.0,-97.922178,105.20075
193,-1000.0,1000.0,-105.199538,97.923393
194,-1000.0,1000.0,-97.922794,105.200134
195,-1000.0,1000.0,-153.047698,156.054119
196,2.641387,21.541837,-inf,inf
197,0.0,0.0,-inf,inf
198,0.0,1000.0,-60.271892,126.438428
199,0.0,0.0,-inf,inf
200,0.0,0.0,-118.327255,219.530738
201,0.918344,385.270427,-164.423289,-0.0001
202,-1000.0,1000.0,-inf,inf
203,-1000.0,1000.0,-inf,inf
204,0.0,0.0,-265.026904,157.885333
205,0.0,0.0,-inf,inf
206,0.0,0.0,-87.122626,200.463992
207,0.0,116.049212,-250.601439,219.906431
208,0.0,107.877739,-560.547294,-64.378139
210,0.0,112.07819,-294.895504,218.309678
211,0.0,112.07819,-202.538721,249.778283
212,0.0,112.07819,-195.883656,242.881275
213,0.0,112.07819,-573.756104,-77.453833
214,0.0,112.078149,-605.499161,-108.318118
215,0.0,112.07819,-inf,inf
216,0.0,112.07819,-inf,inf
217,0.0,107.877739,-588.464954,-90.921416
218,0.0,109.118383,-167.665323,188.173135
219,0.41027,109.301676,-244.611221,223.130425
220,0.0,0.0,-335.66443,249.651398
