rxn num,lv,uv,ldGr,udGr
0,-1000.0,1000.0,-inf,inf
1,-1000.0,1000.0,-inf,inf
2,-789.275977,0.0,-166.026503,111.953042
3,-1000.0,1000.0,-inf,inf
4,8.122629,66.244122,-inf,inf
5,2.713917,22.133355,-inf,inf
6,0.918344,385.270427,-129.320027,-0.0001
7,-1000.0,998.023892,-262.412116,18.624122
8,0.0,1000.0,-785.878832,-456.873995
9,0.010989,167.863505,-290.175755,-0.0001
10,0.010989,167.863505,-161.61942,-0.0001
11,2.917552,637.672919,-88.531801,-0.0001
12,-999.999303,1000.0,-220.814163,80.209147
13,3.619871,532.5656,-104.542894,-0.0001
14,0.002088,352.643958,-121.039876,-0.0001
15,-996.323807,1000.0,-183.040588,21.414044
16,0.0,0.0,-402.565833,150.126701
17,0.0,0.0,-507.722638,-63.82992
18,-638.739243,-3.983876,0.0001,54.575639
19,-996.016124,996.542717,-222.988378,65.296285
20,-992.558841,1000.0,-240.080746,48.203902
21,-669.530851,1000.0,-128.015921,126.291117
22,3.619871,532.582676,-47.025179,-0.0001
23,-1000.0,1000.0,-247.601328,39.42328
24,3.983876,638.739243,-55.346645,-0.0001
25,0.0,0.0,-78.093724,109.730474
26,-199.180041,1000.0,-142.668819,18.884394
27,0.0,1000.0,-152.681933,-23.610934
28,0.0,0.0,-153.917949,-11.726055
29,0.0,0.0,-152.975646,-23.322014
30,-1000.0,1000.0,-184.210918,7.913472
31,0.0,0.0,-172.845264,-3.451737
32,0.021979,335.727011,-250.460365,-79.573002
33,3.676193,1000.0,-59.429998,-0.0001
34,3.676193,1000.0,-180.097484,-14.541131
35,-90.001891,90.001891,-141.617932,220.099156
36,-996.323807,1000.0,-183.217225,21.237405
37,0.0,0.0,-360.76475,41.436674
38,0.0,0.0,-194.166822,264.94563
39,0.066705,451.170342,-238.428197,-17.577622
40,-1000.0,1000.0,-180.320651,134.139952
41,0.066705,451.162958,-395.903699,-191.240784
42,0.0,0.0,-197.207344,181.104001
43,-638.739243,-3.983876,0.0001,71.566416
44,3.983876,638.739243,-159.56751,-0.0001
45,0.0,793.444209,-95.870893,90.762111
46,0.002088,352.643958,-169.775702,-0.0001
47,0.0,634.755367,-95.100015,90.729996
48,5.509163,1000.0,-138.576847,-0.0001
49,0.000697,424.344488,-148.136243,-0.0001
50,0.000697,424.344488,-351.174015,-143.55135
51,-1000.0,1000.0,-104.113296,105.629249
52,0.0,0.0,-183.395767,88.221542
53,0.0,0.0,-259.184225,6.462898
54,0.0,634.755367,-97.429702,80.850073
55,0.0,0.0,-231.036779,21.929399
56,0.0,1000.0,-110.906136,188.653087
57,0.0,1000.0,-114.831987,134.087304
58,-1000.0,1000.0,-148.758921,50.54425
59,-1000.0,1000.0,-68.679361,30.271578
60,-1000.0,1000.0,-147.49095,49.276482
61,1.125351,296.180035,-275.902512,-0.0001
62,-442.063261,1000.0,-169.810598,165.381657
63,8.8e-05,633.60472,-138.082093,-0.0001
64,-0.0,1000.0,-231.036769,21.92939
65,0.0,1000.0,-144.548249,142.790775
66,-1000.0,996.830968,-230.719817,109.503257
67,0.0,0.0,-179.04291,149.019488
68,4.104194,1000.0,-133.046851,34.195297
69,0.002088,1000.0,-83.327078,75.752399
70,0.0,0.0,11.710095,277.338969
71,-1000.0,0.0,11.710103,277.338961
72,0.0,1000.0,-155.854996,73.461208
73,0.0,1000.0,-134.767192,-11.902061
74,-1000.0,0.0,-231.036785,21.929406
75,0.0,1000.0,-110.906133,188.653085
76,0.0,0.0,-157.619942,177.24258
77,0.0,1000.0,-70.685844,95.177513
78,7.443247,800.887456,-115.743952,-0.0001
79,7.443247,800.887456,-91.400654,-0.0001
80,0.0,0.0,-205.897859,201.889203
81,-1000.0,1000.0,-181.084373,128.089617
82,-1000.0,1000.0,-182.692347,129.697563
83,-1000.0,1000.0,-180.839953,127.845562
84,-996.323807,793.444209,-139.203689,193.631627
85,3.3e-05,700.257883,-139.658043,-0.0001
86,-1000.0,1000.0,-180.660827,127.666192
87,0.0,373.202185,-180.499758,127.504879
88,-1000.0,1000.0,-180.547216,127.552581
89,0.0,0.0,-245.799382,131.423508
90,-1000.0,1000.0,-229.544907,124.048138
91,0.0,1000.0,-245.607844,-6.452776
92,-1000.0,1000.0,-188.332416,176.705319
93,-1000.0,1000.0,-188.392136,176.645585
94,0.0,0.0,-188.332546,176.705205
95,-997.864821,1000.0,-90.703576,121.73172
96,-160.392404,0.0,-207.922513,109.045092
97,-1000.0,1000.0,-60.14659,58.797295
98,2.135179,1000.0,-110.493107,105.352129
99,0.0,999.997912,-310.086965,-61.50447
100,-1000.0,1000.0,-223.180569,54.44632
101,-998.636251,374.227205,-223.309628,54.57538
102,-1000.0,1000.0,-226.593318,57.859192
103,-1000.0,1000.0,-223.832964,55.098715
104,-1000.0,1000.0,-224.223957,55.48977
105,-1000.0,1000.0,-223.527522,54.793395
106,-1000.0,1000.0,-238.405644,231.477763
107,-1000.0,1000.0,-238.033902,228.690981
108,-1000.0,1000.0,-236.597216,229.669823
109,-1000.0,1000.0,-267.048846,257.955925
110,0.0,1000.0,-231.72189,224.794497
111,-1000.0,1000.0,-238.013953,231.086743
112,-1000.0,1000.0,-237.650175,228.306949
113,-1000.0,1000.0,-236.219391,229.291693
114,-1000.0,1000.0,-266.749305,257.65608
115,-1000.0,1000.0,-231.367791,224.440581
116,0.0,0.0,-inf,inf
117,-1000.0,1000.0,-0.0001,208.027573
118,-1000.0,1000.0,-121.468884,83.596906
119,-1000.0,1000.0,-292.594002,208.016961
120,-1000.0,1000.0,-164.937731,52.291782
121,-1000.0,1000.0,-292.602103,208.02017
122,-1000.0,1000.0,-90.647676,84.811905
123,0.0,1000.0,-215.393206,198.736949
124,0.0,0.0,-209.053723,239.424487
125,0.0,1000.0,-108.458928,55.300037
126,-1000.0,1000.0,-105.880473,103.132511
127,-1000.0,1000.0,-105.081313,103.931653
128,-1000.0,1000.0,-135.734034,134.584536
129,1.125338,296.180022,-127.689809,-0.0001
130,-1000.0,1000.0,-97.39903,62.314568
131,-1000.0,1000.0,-276.452586,108.632099
132,1.310465,1000.0,-120.479203,-0.0001
133,0.0,0.0,-157.284125,-19.200714
134,-1000.0,1000.0,-117.912197,87.003577
135,3.821381,31.165284,-inf,inf
136,0.0,453.396691,-148.684872,126.814425
137,-1000.0,1000.0,-146.746009,127.472636
138,-0.0,1000.0,-148.376316,126.992135
139,0.0,1000.0,-149.200463,127.112547
140,0.0,317.377683,-148.170165,129.276524
141,-1000.0,0.0,-160.800449,116.161944
142,-1000.0,1000.0,-125.317,137.554036
143,-1000.0,1000.0,-106.973008,169.989393
144,-1000.0,1000.0,-117.702832,161.684964
145,-1000.0,1000.0,-108.513896,170.873909
146,-1000.0,1000.0,-120.186488,145.412717
147,-1000.0,1000.0,-115.904786,165.368731
148,-1000.0,1000.0,-106.715849,174.557676
149,-1000.0,1000.0,-118.331476,149.039516
150,-583.908238,1000.0,-278.167683,12.977421
151,-1000.0,1000.0,-262.212749,8.546732
152,0.0,1000.0,-308.318863,-19.873157
153,0.0,1000.0,-310.886026,-17.306182
154,-0.0,1000.0,-306.870219,-12.987371
155,-1000.0,1000.0,-260.598825,15.262322
156,-0.0,1000.0,-309.269644,-10.588134
157,-1000.0,1000.0,-114.453605,163.943306
158,-1000.0,1000.0,-105.264669,173.132251
159,-1000.0,1000.0,-116.968246,147.702043
160,-1000.0,1000.0,-118.121046,161.98828
161,-1000.0,1000.0,-108.932125,171.177209
162,-1000.0,1000.0,-120.582602,145.693932
163,0.0,0.0,-281.019396,12.857076
164,-1000.0,1000.0,-114.152677,166.728743
165,-1000.0,1000.0,-104.963742,175.91769
166,0.0,120.295,-439.775635,-77.412265
167,-343.767457,0.0,-131.174766,60.402264
168,-329.01574,0.0,-150.364195,20.098025
169,-1000.0,1000.0,-527.198175,430.288934
170,0.0,0.0,-185.099547,239.624527
171,-1000.0,1000.0,-131.877048,26.480831
172,-1000.0,1000.0,-131.877348,26.480507
173,-998.499411,1000.0,-180.689049,75.503513
174,-264.481403,0.0,-130.595452,27.163225
175,0.0,0.0,-325.790785,181.699385
176,-1000.0,1000.0,-459.917051,143.424076
177,-1000.0,1000.0,-332.401993,31.48658
178,0.49056,1000.0,-145.735224,-0.0001
179,0.49056,451.594197,-417.934638,-120.504281
180,0.0,1000.0,-250.957086,-61.11404
181,-634.755367,0.0,-120.454623,142.428028
182,-1000.0,996.686018,-161.041549,22.474553
183,-997.864821,998.821196,-183.727941,153.274335
184,-997.864821,998.821196,-299.852917,208.1859
185,2.135179,17.413455,-inf,inf
186,0.0,0.0,-inf,inf
187,-1000.0,1000.0,-293.407543,65.1393
188,2.1041,17.159989,-inf,inf
189,0.0,0.0,-inf,inf
190,1.178804,516.725817,-135.135087,-0.0001
191,-1000.0,1000.0,-87.583901,50.235087
192,-1000.0,1000.0,-97.922177,105.200749
193,-1000.0,1000.0,-105.199537,97.923391
194,-1000.0,1000.0,-97.922795,105.200134
195,-1000.0,1000.0,-153.047669,156.054062
196,2.641387,21.541837,-inf,inf
197,0.0,0.0,-inf,inf
198,-0.0,1000.0,-60.271886,126.438424
199,0.0,0.0,-inf,inf
200,0.0,0.0,-118.327378,219.530617
