rxn num,lv,uv,ldGr,udGr
0,-1000.0,1000.0,-inf,inf
1,-1000.0,1000.0,-inf,inf
2,-789.275977,0.0,-153.192601,100.543092
3,-1000.0,1000.0,-inf,inf
4,8.122629,66.244122,-inf,inf
6,0.918344,385.270427,-123.61508,-0.0001
7,-1000.0,998.023892,-251.002228,7.214249
8,0.0,1000.0,-765.654805,-468.283884
9,0.010989,167.863505,-278.765865,-0.0001
10,0.010989,167.863505,-150.209552,-0.0001
11,2.917552,637.672919,-77.121908,-0.0001
12,-999.999303,1000.0,-209.404263,68.799248
14,0.002088,352.643958,-109.630007,-0.0001
15,-996.323807,1000.0,-171.630701,10.004157
16,0.0,0.0,-390.905504,138.716796
17,0.0,0.0,-501.756652,-75.239808
18,-638.739243,-3.983876,0.0001,48.870695
19,-996.016124,996.542717,-209.89324,53.886509
20,-992.558841,1000.0,-228.670992,36.793904
21,-669.530851,1000.0,-116.60603,114.881225
22,3.619871,532.582676,-41.320232,-0.0001
23,-0.0,1000.0,-236.191437,28.013389
25,0.0,0.0,-66.683863,104.025497
26,-199.180041,1000.0,-131.258919,13.17944
27,0.0,1000.0,-145.291869,-29.31588
28,0.0,0.0,-146.527889,-17.430997
29,0.0,0.0,-145.585586,-29.026956
30,-0.0,1000.0,-176.820856,2.208528
31,0.0,0.0,-165.455206,-9.156677
32,0.021979,335.727011,-237.626401,-85.277946
33,3.676193,1000.0,-53.725046,-0.0001
34,3.676193,1000.0,-168.687581,-20.246087
35,-90.001891,90.001891,-130.207912,208.68938
36,-996.323807,1000.0,-171.807333,9.827513
37,0.0,0.0,-355.059517,32.879457
38,0.0,0.0,-182.756926,259.24068
39,0.066705,451.170342,-225.33319,-23.282565
40,-1000.0,1000.0,-168.910688,122.730111
41,0.066705,451.170342,-390.198756,-202.650674
42,0.0,0.0,-185.797398,169.694177
44,3.983876,638.739243,-146.733609,-0.0001
45,0.0,793.444209,-84.461,-0.0001
46,0.002088,352.643958,-158.365815,-0.0001
47,0.0,634.755367,-83.690123,-0.0001
48,3.676193,1000.0,-127.166957,-0.0001
49,0.000697,424.344488,-136.72632,-0.0001
50,0.000697,424.344488,-291.222668,-149.256297
51,-1000.0,1000.0,-92.703405,94.21936
52,0.0,0.0,-171.985877,82.516598
53,0.0,0.0,-247.77435,0.757969
54,0.0,634.755367,-86.019814,74.158315
55,0.0,0.0,-217.941765,16.22445
56,0.0,1000.0,-99.49624,136.935769
57,0.0,1000.0,-103.422107,122.677424
58,-1000.0,1000.0,-137.34903,44.839308
59,-1000.0,1000.0,-117.075704,24.566623
60,-1000.0,1000.0,-136.081062,43.57154
61,1.125351,296.180035,-251.397602,-0.0001
62,-442.063261,1000.0,-158.400719,157.775104
63,8.8e-05,634.755455,-120.967289,-0.0001
64,0.0,1000.0,-217.941766,16.224451
65,-0.0,1000.0,-133.138363,102.046099
66,-1000.0,996.830968,-213.604968,92.388406
67,0.0,0.0,-167.633015,137.609608
68,0.0,1000.0,-127.34191,28.490356
69,0.0,1000.0,-77.622142,70.047464
70,-1000.0,0.0,17.415435,253.621004
71,-1000.0,0.0,17.415035,262.819891
72,0.0,1000.0,-143.021033,32.716529
73,0.0,1000.0,-127.377134,-17.607002
74,-1000.0,0.0,-217.941766,16.224451
75,0.0,1000.0,-99.496241,136.93577
76,0.0,0.0,-140.505098,164.408607
77,-1000.0,1000.0,-64.980899,83.767622
78,7.443247,800.887456,-104.334061,-0.0001
79,7.443247,800.887456,-79.990756,-0.0001
80,0.0,0.0,-194.488096,190.479196
81,-1000.0,1000.0,-169.67436,116.679847
82,-1000.0,1000.0,-171.282326,118.287809
83,-1000.0,1000.0,-169.42993,116.435784
84,-996.323807,793.444209,-127.793563,182.221989
86,-1000.0,1000.0,-169.250871,116.256358
87,0.0,373.202185,-169.089738,116.095103
88,-1000.0,1000.0,-169.137205,116.142814
89,0.0,0.0,-228.684665,114.308547
90,-1000.0,1000.0,-211.005873,101.228475
91,0.0,1000.0,-234.198092,-12.157826
92,-1000.0,1000.0,-171.217695,90.320943
93,-1000.0,1000.0,-171.277193,159.530887
94,0.0,0.0,-171.217569,159.590472
95,-997.864821,1000.0,-79.29369,110.321834
96,-160.392404,0.0,-196.512625,103.34015
97,-1000.0,1000.0,-54.441641,53.092346
98,-997.864821,1000.0,-99.083212,93.942242
99,0.0,1000.0,-298.677089,-67.2094
100,0.0,1000.0,-211.770665,43.036417
101,-998.636251,374.227205,-211.899731,43.165482
102,-1000.0,1000.0,-215.18344,46.449192
103,-1000.0,1000.0,-212.423067,43.688819
104,-1000.0,1000.0,-212.814059,44.079872
105,-1000.0,1000.0,-212.11763,43.383503
106,-1000.0,1000.0,-226.995795,220.067914
107,-1000.0,1000.0,-226.623997,217.281077
108,-1000.0,1000.0,-225.187306,218.259913
109,-1000.0,1000.0,-255.638961,246.54604
110,-0.0,1000.0,-220.31214,213.384503
111,-1000.0,1000.0,-226.604051,219.676841
112,-999.594743,1000.0,-226.240275,216.89705
113,-1000.0,1000.0,-224.809478,217.88178
114,-1000.0,1000.0,-255.339428,246.246203
115,-1000.0,1000.0,-219.957904,213.030694
116,0.0,0.0,-inf,inf
117,-1000.0,1000.0,-281.203793,200.898553
118,-1000.0,1000.0,-110.058996,42.852229
119,-1000.0,1000.0,-281.184118,200.887934
120,-1000.0,1000.0,-152.103764,11.547099
121,-1000.0,1000.0,-281.192211,200.89115
122,-1000.0,1000.0,-79.23779,79.106965
123,0.0,1000.0,-203.983326,191.607941
124,0.0,0.0,-197.64382,228.014615
125,0.0,1000.0,-96.96091,-19.674319
126,-1000.0,1000.0,-94.470579,62.387827
127,-1000.0,1000.0,-93.67142,92.521761
128,-1000.0,1000.0,-124.324132,123.174633
129,1.125338,296.180022,-116.279914,-0.0001
130,-1000.0,1000.0,-85.989146,56.60963
131,-1000.0,1000.0,-256.489603,91.517264
132,1.310465,1000.0,-103.364368,-0.0001
133,0.0,0.0,-149.894053,-24.905668
134,-1000.0,1000.0,-106.502304,57.834221
135,3.821381,31.165284,-inf,inf
136,0.0,453.396691,-137.274853,115.404649
137,-1000.0,1000.0,-135.335988,116.062861
138,-0.0,1000.0,-136.966296,115.58236
139,-0.0,1000.0,-137.790411,115.7028
140,0.0,317.377683,-136.760145,117.866749
141,-1000.0,1000.0,-147.966547,104.751994
142,-1000.0,1000.0,-113.907152,129.947482
144,-1000.0,1000.0,-106.292882,148.851063
145,-1000.0,1000.0,-97.104014,159.464028
146,-1000.0,1000.0,-108.776624,137.806178
147,-1000.0,1000.0,-104.494837,152.534829
148,-1000.0,1000.0,-95.305968,163.147794
149,-1000.0,1000.0,-106.921611,141.432977
150,-583.908238,1000.0,-263.648663,1.567471
151,0.0,1000.0,-253.656828,-2.863132
152,0.0,1000.0,-296.908982,-31.283037
153,0.0,1000.0,-299.476136,-28.723365
154,-0.0,1000.0,-295.460339,-24.397251
155,-1000.0,1000.0,-85.02172,1.452896
156,0.0,1000.0,-297.859755,-21.998023
157,-1000.0,1000.0,-103.043655,151.109404
158,-1000.0,1000.0,-93.854788,161.72237
159,-1000.0,1000.0,-105.558382,140.095505
160,-1000.0,1000.0,-106.711127,149.154347
161,-1000.0,1000.0,-97.522258,159.767312
162,-1000.0,1000.0,-109.172767,138.087362
163,0.0,0.0,-266.500376,1.447126
164,-1000.0,1000.0,-102.742728,153.894842
165,-1000.0,1000.0,-93.55386,164.507808
166,0.0,120.295,-413.585618,-83.117209
167,-343.767457,0.0,-119.764876,54.697319
168,-329.01574,0.0,-142.974133,14.393081
169,-1000.0,1000.0,-504.378391,420.311766
170,0.0,0.0,-173.68966,228.214609
171,-1000.0,1000.0,-120.467139,20.775868
172,-1000.0,1000.0,-120.467459,20.775563
173,-998.499411,1000.0,-167.855082,64.09362
174,-264.481403,0.0,-119.185553,21.458272
175,0.0,0.0,-314.641939,175.994441
176,-1000.0,1000.0,-442.802214,132.014184
177,-1000.0,1000.0,-320.992104,20.07669
178,0.49056,1000.0,-134.32533,-0.0001
180,0.0,1000.0,-236.438004,-66.818984
181,-634.755367,0.0,-109.044759,134.82149
182,-1000.0,996.686018,-149.631658,16.769608
183,-997.864821,998.821196,-172.318051,147.569392
184,-997.864821,998.821196,-281.314006,121.801652
185,2.135179,17.413455,-inf,inf
186,0.0,0.0,-inf,inf
187,0.0,1000.0,-268.902642,-21.244948
188,2.1041,17.159989,-inf,inf
189,0.0,0.0,-inf,inf
190,1.178804,516.725817,-123.725197,-0.0001
191,-1000.0,1000.0,-76.174015,77.513196
192,-1000.0,1000.0,-86.512286,93.790858
193,-1000.0,1000.0,-81.47653,53.793029
194,-1000.0,1000.0,-86.512903,93.790242
195,-1000.0,1000.0,-135.932861,148.447525
196,2.641387,21.541837,-inf,inf
197,0.0,0.0,-inf,inf
198,0.0,1000.0,-48.862,109.323591
199,0.0,0.0,-inf,inf
200,0.0,0.0,-106.917363,206.696772
201,0.918344,385.270427,-153.013398,-0.0001
202,-1000.0,1000.0,-inf,inf
203,-1000.0,1000.0,-inf,inf
204,0.0,0.0,-252.192938,146.475441
205,0.0,0.0,-inf,inf
206,0.0,0.0,0.0001,108.81206
207,0.0,116.049212,-239.191547,212.299837
209,0.0,112.07819,-inf,inf
