rxn num,lv,uv,ldGr,udGr
19,-996.016124,996.542717,-212.931942,42.674661
27,0.0,1000.0,-145.414849,-23.610934
32,0.021979,246.915009,-243.874036,-79.573
35,0.0,4.626716,-141.617804,-0.0001
41,0.066705,349.831831,-352.935852,-191.240782
43,-108.20443,-3.983876,0.0001,22.554507
53,0.0,0.0,-241.29692,-2.898532
55,0.0,0.0,-186.990145,-0.0001
71,0.0,0.0,57.056965,238.179002
78,7.443247,532.090937,-115.743952,-0.0001
81,1.37154,1000.0,-92.508655,-0.0001
82,0.0,0.0,-182.692218,-0.0001
87,0.0,262.323845,-180.49963,-0.0001
94,0.0,0.0,-188.332406,-0.0001
95,15.458857,1000.0,-49.831556,-0.0001
98,0.0,1000.0,-110.493104,-0.0001
101,-998.636251,263.211255,-223.309623,54.575374
104,1.37154,1000.0,-92.508655,-0.0001
108,0.0,1000.0,-236.597197,-0.0008
109,0.0,1000.0,-267.048852,-0.0001
116,0.0,0.0,-inf,inf
117,0.0,1000.0,-102.165203,208.027573
118,1.516214,1000.0,-83.689798,-0.0001
120,0.0,1000.0,-83.529171,52.291781
133,0.0,0.0,-147.082266,-19.200722
144,0.0,1000.0,-117.702774,-0.0007
145,-1000.0,1000.0,-16.672897,35.152119
151,0.0,1000.0,-139.185514,-0.0003
154,0.0,1000.0,-14.01921,-12.987359
160,0.0,1000.0,-118.121018,161.988313
161,0.0,1000.0,-39.957504,-0.0001
166,0.000697,95.32334,-279.869478,-83.496393
167,-17.074496,0.0,0.0001,60.402265
170,0.0,0.0,0.0001,229.593944
183,2.135179,998.821196,-183.727943,153.274338
187,-0.0,1000.0,-293.407544,-114.248102
192,0.0,1000.0,-97.922178,105.20075
193,-1000.0,1000.0,-36.618975,97.923393
206,0.0,0.0,0.0001,120.221952
211,0.41027,80.710048,-202.538721,249.778283
213,0.0,80.725017,-573.756104,-145.535781
219,0.41027,79.324717,-244.611221,-0.0001
227,-0.0,1000.0,-492.863762,-145.616125
232,0.0,1000.0,-198.725234,-0.0001
242,0.0,1000.0,-142.151005,-0.0001
265,0.0,1000.0,-245.996435,39.031497
266,0.0,1000.0,-102.125326,-0.0001
273,-1000.0,1000.0,-59.377967,25.033805
278,0.0,1000.0,-293.710595,-1.741558
289,0.0,200.080152,-284.071161,-0.0001
293,0.0,0.0,-169.153282,-0.0001
296,0.0,1000.0,-44.919691,125.027055
297,0.0,1000.0,-79.917246,-0.0001
300,0.040258,209.899334,-156.086802,-0.0001
310,-1000.0,1000.0,-86.527132,25.599787
317,7.714926,44.217445,-inf,inf
324,0.0,1000.0,-66.001695,-11.908055
329,0.0,1000.0,-175.437205,175.608172
332,1.1e-05,42.828394,-184.37909,-0.0001
345,0.0,1000.0,-42.846191,-0.0001
347,-0.0,1000.0,-67.859159,-0.0001
359,-1000.0,999.740543,-297.954112,74.19344
363,0.0,1000.0,-97.121672,78.049197
368,0.0,1000.0,-71.520591,-0.0002
370,-999.740543,1000.0,-16.332885,42.175915
373,0.0,0.0,-inf,inf
374,0.0,1000.0,-171.455783,-0.0001
383,-0.0,1000.0,-39.938367,-0.0001
392,0.002088,1000.0,-69.875579,-0.0001
397,0.0,1000.0,-97.398384,-0.0001
398,-1000.0,1000.0,-inf,inf
420,0.918344,334.38648,-214.892944,-0.0001
430,0.0,1000.0,-12.862788,-0.0001
433,62.511341,1000.0,-93.278282,126.782573
435,0.0,1000.0,-630.802179,-103.408364
445,0.0,996.747677,-102.560226,-0.0001
459,0.0,0.0,0.0001,45.871065
462,0.0,0.0,-175.418593,-0.0001
463,0.0,0.0,0.0001,44.694524
468,0.0,0.0,0.0001,46.321811
469,0.0,0.0,0.0001,53.341229
473,0.0,0.0,-179.158692,-0.0001
474,0.0,0.0,-180.448641,-0.0001
491,0.0,0.0,-172.802117,-0.0001
492,0.0,0.0,0.0001,47.049095
493,0.0,0.0,-170.352615,-0.0001
494,0.0,0.0,-171.910644,44.605048
